FeatureCode,DateCode,Measurement,Units,Value,Age,Sex,Migration Source,Migration Type
S92000003,2013,Count,People,235,36 years,Male,To-from Overseas,Out
S92000003,2009,Count,People,2,89 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-7,90 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-21,62 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,1,64 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,13,85 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-1,56 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,117,34 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,87,37 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,125,36 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-11,60 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,1,67 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,4,3 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,45,63 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,51,60 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,96,9 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,79,11 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,105,7 years,Male,To-from Overseas,Out
S92000003,2009,Count,People,-3,87 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,1,88 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-13,59 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-7,58 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-1,61 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-26,64 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-23,66 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-27,67 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,1,42 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,54,34 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-10,41 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-21,62 years,Male,To-from Overseas,Net
S92000003,2007,Count,People,264,5 years,Male,To-from Overseas,In
S92000003,2014,Count,People,-21,61 years,Male,To-from Overseas,Net
S92000003,2007,Count,People,322,3 years,Male,To-from Overseas,In
S92000003,2014,Count,People,-25,63 years,Male,To-from Overseas,Net
S92000003,2007,Count,People,345,1 year,Male,To-from Overseas,In
S92000003,2007,Count,People,23571,All,Male,To-from Overseas,In
S92000003,2007,Count,People,181,8 years,Male,To-from Overseas,In
S92000003,2013,Count,People,227,37 years,Male,To-from Overseas,Out
S92000003,2007,Count,People,338,2 years,Male,To-from Overseas,In
S92000003,2007,Count,People,149,9 years,Male,To-from Overseas,In
S92000003,2007,Count,People,180,10 years,Male,To-from Overseas,In
S92000003,2013,Count,People,51,61 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,329,33 years,Male,To-from Overseas,Out
S92000003,2002,Count,People,17,1 year,Male,To-from Overseas,Net
S92000003,2007,Count,People,268,0 years,Male,To-from Overseas,In
S92000003,2013,Count,People,272,35 years,Male,To-from Overseas,Out
S92000003,2009,Count,People,-1,47 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-2,74 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,6,86 years,Male,To-from Rest of UK,Net
S92000003,2013,Count,People,134,45 years,Male,To-from Overseas,Out
S92000003,2002,Count,People,32,0 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,127,46 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,25,90 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,54,40 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,13,48 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,8,41 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,4,71 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-6,77 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-13,5 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-4,79 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-21,60 years,Male,To-from Overseas,Net
S92000003,2007,Count,People,272,4 years,Male,To-from Overseas,In
S92000003,2009,Count,People,17,45 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,49,62 years,Male,To-from Overseas,Out
S92000003,2002,Count,People,509,All,Male,To-from Overseas,Net
S92000003,2013,Count,People,203,39 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,0,82 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,4,84 years,Male,To-from Rest of UK,Net
S92000003,2003,Count,People,309,32 years,Male,To-from Overseas,In
S92000003,2003,Count,People,223,17 years,Male,To-from Overseas,In
S92000003,2003,Count,People,358,31 years,Male,To-from Overseas,In
S92000003,2003,Count,People,255,18 years,Male,To-from Overseas,In
S92000003,2003,Count,People,560,27 years,Male,To-from Overseas,In
S92000003,2003,Count,People,369,19 years,Male,To-from Overseas,In
S92000003,2013,Count,People,47,64 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,50,66 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,32,69 years,Male,To-from Rest of UK,Net
S92000003,2003,Count,People,434,29 years,Male,To-from Overseas,In
S92000003,2003,Count,People,385,30 years,Male,To-from Overseas,In
S92000003,2013,Count,People,38,67 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,73,54 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,47,65 years,Male,To-from Overseas,Out
S92000003,2003,Count,People,489,28 years,Male,To-from Overseas,In
S92000003,2002,Count,People,3,4 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-7,6 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,70,53 years,Male,To-from Overseas,Out
S92000003,2003,Count,People,182,1 year,Male,To-from Overseas,In
S92000003,2003,Count,People,195,2 years,Male,To-from Overseas,In
S92000003,2003,Count,People,583,26 years,Male,To-from Overseas,In
S92000003,2003,Count,People,702,25 years,Male,To-from Overseas,In
S92000003,2003,Count,People,738,24 years,Male,To-from Overseas,In
S92000003,2014,Count,People,322,23 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,47,16 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,84,3 years,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,171,25 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,185,1 year,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,94,2 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,45,5 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,109,4 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,59,6 years,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,66,17 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,112,0 years,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,48,33 years,Male,To-from Overseas,Net
S92000003,2017,Count,People,5340,All,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,6144,All,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,75,32 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,54,70 years,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,57,29 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,120,26 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,102,27 years,Male,To-from Overseas,Net
S92000003,2017,Count,People,101,1 year,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,80,28 years,Male,To-from Overseas,Net
S92000003,2017,Count,People,62,0 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-2,76 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,25,44 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,20,71 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,-4,89 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-4,69 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,51,64 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-4,73 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,48,39 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,64,38 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,104,65 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-1,72 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,30,35 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-4,66 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,5,87 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,1,80 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,18,49 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,171,41 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,44,43 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,24,50 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,1,88 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-7,82 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-5,81 years,Male,To-from Overseas,Net
S92000003,2003,Count,People,647,21 years,Male,To-from Overseas,In
S92000003,2003,Count,People,761,23 years,Male,To-from Overseas,In
S92000003,2003,Count,People,462,20 years,Male,To-from Overseas,In
S92000003,2005,Count,People,31,67 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-2,57 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-8,70 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,68,59 years,Male,To-from Overseas,Out
S92000003,2003,Count,People,215,16 years,Male,To-from Overseas,In
S92000003,2002,Count,People,16,2 years,Male,To-from Overseas,Net
S92000003,2003,Count,People,155,15 years,Male,To-from Overseas,In
S92000003,2003,Count,People,698,22 years,Male,To-from Overseas,In
S92000003,2005,Count,People,54,66 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,23,72 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-5,55 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-11,63 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,41,68 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,-3,85 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,-1,75 years,Male,To-from Overseas,Net
S92000003,2009,Count,People,14,42 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,54,63 years,Male,To-from Rest of UK,Net
S92000003,2009,Count,People,3,86 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,9,78 years,Male,To-from Rest of UK,Net
S92000003,2013,Count,People,211,19 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,75,16 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,366,32 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,151,18 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,33,62 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,447,30 years,Male,To-from Overseas,Out
S92000003,2002,Count,People,-20,59 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,266,20 years,Male,To-from Overseas,Out
S92000003,2002,Count,People,-4,58 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,480,29 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,401,31 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,440,21 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,123,39 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,43,59 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,12,74 years,Male,To-from Overseas,In
S92000003,2016,Count,People,36,63 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,154,37 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,36,61 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,1,89 years,Male,To-from Overseas,In
S92000003,2005,Count,People,5,90 years,Male,To-from Overseas,In
S92000003,2016,Count,People,130,38 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,3,88 years,Male,To-from Overseas,In
S92000003,2005,Count,People,2,86 years,Male,To-from Overseas,In
S92000003,2005,Count,People,3,85 years,Male,To-from Overseas,In
S92000003,2005,Count,People,11,77 years,Male,To-from Overseas,In
S92000003,2005,Count,People,5,84 years,Male,To-from Overseas,In
S92000003,2005,Count,People,4,83 years,Male,To-from Overseas,In
S92000003,2005,Count,People,15,71 years,Male,To-from Overseas,In
S92000003,2005,Count,People,6,78 years,Male,To-from Overseas,In
S92000003,2005,Count,People,20,72 years,Male,To-from Overseas,In
S92000003,2005,Count,People,11,76 years,Male,To-from Overseas,In
S92000003,2005,Count,People,17,70 years,Male,To-from Overseas,In
S92000003,2005,Count,People,6,75 years,Male,To-from Overseas,In
S92000003,2005,Count,People,11,73 years,Male,To-from Overseas,In
S92000003,2013,Count,People,13861,All,Male,To-from Overseas,Out
S92000003,2013,Count,People,128,0 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,129,6 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,89,17 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,544,22 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,635,23 years,Male,To-from Overseas,Out
S92000003,2006,Count,People,282,36 years,Male,To-from Overseas,In
S92000003,2013,Count,People,72,13 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,3,82 years,Male,To-from Overseas,In
S92000003,2013,Count,People,138,5 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,193,1 year,Male,To-from Overseas,Out
S92000003,2017,Count,People,63,46 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,59,33 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,119,50 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,113,34 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,138,31 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,107,32 years,Male,To-from Rest of UK,Net
S92000003,2006,Count,People,1,85 years,Male,To-from Overseas,In
S92000003,2006,Count,People,0,87 years,Male,To-from Overseas,In
S92000003,2006,Count,People,0,89 years,Male,To-from Overseas,In
S92000003,2017,Count,People,44,47 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,74,48 years,Male,To-from Rest of UK,Net
S92000003,2006,Count,People,2,90 years,Male,To-from Overseas,In
S92000003,2017,Count,People,67,42 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,760,19 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,95,45 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,132,43 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,66,49 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,85,18 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,86,44 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,129,35 years,Male,To-from Rest of UK,Net
S92000003,2017,Count,People,21,17 years,Male,To-from Rest of UK,Net
S92000003,2006,Count,People,2,86 years,Male,To-from Overseas,In
S92000003,2016,Count,People,196,34 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,43,57 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,206,33 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,61,52 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,48,56 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,62,51 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,186,35 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,1,87 years,Male,To-from Overseas,In
S92000003,2016,Count,People,168,36 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,105,41 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,112,40 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,57,53 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,53,54 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,35,66 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,32,65 years,Male,To-from Overseas,Out
S92000003,2006,Count,People,0,88 years,Male,To-from Overseas,In
S92000003,2016,Count,People,33,64 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,50,58 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,56,55 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,65,10 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,40,60 years,Male,To-from Overseas,Out
S92000003,2016,Count,People,33,67 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,315,34 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,186,40 years,Male,To-from Overseas,Out
S92000003,2014,Count,People,-31,51 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-18,49 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-13,50 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-23,46 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-31,53 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-18,54 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,19,10 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-16,52 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-7,58 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-17,65 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-17,62 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-6,61 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-17,57 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-11,60 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-3,83 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-5,64 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-29,48 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-37,47 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-17,54 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-17,56 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-10,63 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-3,38 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-17,57 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,18,39 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-19,59 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-9,55 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-26,56 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,166,41 years,Male,To-from Overseas,Out
S92000003,2007,Count,People,237,6 years,Male,To-from Overseas,In
S92000003,2007,Count,People,214,7 years,Male,To-from Overseas,In
S92000003,2014,Count,People,2,40 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,47,35 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,17,79 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,7,74 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,22,77 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,0,80 years,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,27,8 years,Male,To-from Overseas,Net
S92000003,2005,Count,People,7,81 years,Male,To-from Rest of UK,Net
S92000003,2013,Count,People,214,38 years,Male,To-from Overseas,Out
S92000003,2005,Count,People,25,73 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,29,76 years,Male,To-from Rest of UK,Net
S92000003,2005,Count,People,11,75 years,Male,To-from Rest of UK,Net
S92000003,2014,Count,People,18,11 years,Male,To-from Overseas,Net
S92000003,2013,Count,People,169,4 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,709,24 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,162,3 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,675,26 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,561,28 years,Male,To-from Overseas,Out
S92000003,2013,Count,People,748,25 years,Male,To-from Overseas,Out
S92000003,2007,Count,People,1017,21 years,Male,To-from Overseas,In
S92000003,2007,Count,People,1103,27 years,Male,To-from Overseas,In
S92000003,2007,Count,People,1400,23 years,Male,To-from Overseas,In
S92000003,2013,Count,People,609,27 years,Male,To-from Overseas,Out
S92000003,2007,Count,People,812,20 years,Male,To-from Overseas,In
S92000003,2005,Count,People,7,79 years,Male,To-from Overseas,In
S92000003,2005,Count,People,3,81 years,Male,To-from Overseas,In
S92000003,2007,Count,People,226,16 years,Male,To-from Overseas,In
S92000003,2005,Count,People,16,68 years,Male,To-from Overseas,In
S92000003,2005,Count,People,24,69 years,Male,To-from Overseas,In
S92000003,2005,Count,People,4,80 years,Male,To-from Overseas,In
S92000003,2007,Count,People,654,19 years,Male,To-from Overseas,In
S92000003,2007,Count,People,152,12 years,Male,To-from Overseas,In
S92000003,2007,Count,People,343,18 years,Male,To-from Overseas,In
S92000003,2013,Count,People,184,2 years,Male,To-from Overseas,Out
S92000003,2007,Count,People,242,17 years,Male,To-from Overseas,In
S92000003,2002,Count,People,-16,53 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-15,55 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-1,80 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-4,79 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-9,75 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-8,51 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-8,76 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-8,82 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,1,77 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-2,84 years,Male,To-from Overseas,Net
S92000003,2002,Count,People,-2,81 years,Male,To-from Overseas,Net
S92000003,2007,Count,People,157,11 years,Male,To-from Overseas,In
S92000003,2007,Count,People,141,13 years,Male,To-from Overseas,In
S92000003,2007,Count,People,161,15 years,Male,To-from Overseas,In
S92000003,2007,Count,People,1385,24 years,Male,To-from Overseas,In
S92000003,2002,Count,People,0,78 years,Male,To-from Overseas,Net
S92000003,2007,Count,People,1275,22 years,Male,To-from Overseas,In
S92000003,2007,Count,People,1189,26 years,Male,To-from Overseas,In
S92000003,2007,Count,People,161,14 years,Male,To-from Overseas,In
S92000003,2002,Count,People,-20,52 years,Male,To-from Overseas,Net
S92000003,2007,Count,People,1360,25 years,Male,To-from Overseas,In
S92000003,2007,Count,People,1004,28 years,Male,To-from Overseas,In
S92000003,2015,Count,People,66,46 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,71,48 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,1,86 years,Male,To-from Overseas,In
S92000003,2015,Count,People,94,49 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,80,51 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,58,45 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,87,44 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,64,40 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,60,41 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,3,85 years,Male,To-from Overseas,In
S92000003,2008,Count,People,0,87 years,Male,To-from Overseas,In
S92000003,2015,Count,People,62,47 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,60,56 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,86,54 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,32,58 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,7,90 years,Male,To-from Overseas,In
S92000003,2008,Count,People,3,83 years,Male,To-from Overseas,In
S92000003,2008,Count,People,1,84 years,Male,To-from Overseas,In
S92000003,2015,Count,People,51,53 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,75,50 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,78,57 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,74,43 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,62,55 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,31,59 years,Male,To-from Overseas,In
S92000003,2015,Count,People,79,42 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,37,60 years,Male,To-from Overseas,In
S92000003,2008,Count,People,132,48 years,Male,To-from Overseas,In
S92000003,2008,Count,People,107,49 years,Male,To-from Overseas,In
S92000003,2008,Count,People,146,47 years,Male,To-from Overseas,In
S92000003,2014,Count,People,-17,46 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-28,43 years,Male,To-from Overseas,Net
S92000003,2014,Count,People,-39,48 years,Male,To-from Overseas,Net
S92000003,2008,Count,People,44,58 years,Male,To-from Overseas,In
S92000003,2014,Count,People,-25,45 years,Male,To-from Overseas,Net
S92000003,2008,Count,People,74,56 years,Male,To-from Overseas,In
S92000003,2008,Count,People,46,57 years,Male,To-from Overseas,In
S92000003,2008,Count,People,23,64 years,Male,To-from Overseas,In
S92000003,2008,Count,People,118,50 years,Male,To-from Overseas,In
S92000003,2008,Count,People,39,61 years,Male,To-from Overseas,In
S92000003,2008,Count,People,34,62 years,Male,To-from Overseas,In
S92000003,2008,Count,People,69,55 years,Male,To-from Overseas,In
S92000003,2008,Count,People,98,52 years,Male,To-from Overseas,In
S92000003,2008,Count,People,91,51 years,Male,To-from Overseas,In
S92000003,2008,Count,People,30,63 years,Male,To-from Overseas,In
S92000003,2008,Count,People,83,54 years,Male,To-from Overseas,In
S92000003,2015,Count,People,-40,27 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,38,52 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,-18,23 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,35,28 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,-18,26 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,23,30 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,82,22 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,19,70 years,Male,To-from Overseas,In
S92000003,2008,Count,People,16,71 years,Male,To-from Overseas,In
S92000003,2015,Count,People,162,21 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,67,29 years,Male,To-from Rest of UK,Net
S92000003,2002,Count,People,-15,43 years,Male,To-from Overseas,Net
S92000003,2015,Count,People,-87,25 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,-240,24 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,88,36 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,56,37 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,82,35 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,31,39 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,117,34 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,22,38 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,78,31 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,103,32 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,22,68 years,Male,To-from Overseas,In
S92000003,2008,Count,People,7,82 years,Male,To-from Overseas,In
S92000003,2008,Count,People,9,80 years,Male,To-from Overseas,In
S92000003,2008,Count,People,20,69 years,Male,To-from Overseas,In
S92000003,2008,Count,People,26,65 years,Male,To-from Overseas,In
S92000003,2008,Count,People,4,79 years,Male,To-from Overseas,In
S92000003,2008,Count,People,0,89 years,Male,To-from Overseas,In
S92000003,2015,Count,People,4481,All,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,2,88 years,Male,To-from Overseas,In
S92000003,2015,Count,People,95,33 years,Male,To-from Rest of UK,Net
S92000003,2015,Count,People,49,0 years,Male,To-from Rest of UK,Net
S92000003,2008,Count,People,4,81 years,Male,To-from Overseas,In
S92000003,2008,Count,People,15,74 years,Male,To-from Overseas,In
S92000003,2008,Count,People,8,75 years,Male,To-from Overseas,In
S92000003,2008,Count,People,12,73 years,Male,To-from Overseas,In
